type,dist,longitude,latitude
A2,東區,120.966086,24.791263
A2,東區,121.024438,24.770422
A2,東區,120.980647,24.813296
A2,東區,120.966692,24.800568
A2,東區,120.970032,24.804132
A2,香山區,120.950006,24.800084
A2,東區,120.972935,24.808917
A2,北區,120.959486,24.808777
A2,香山區,120.91853,24.77821
A2,北區,120.962374,24.802577
A2,北區,120.944083,24.836131
A2,東區,120.97808,24.798208
A2,東區,120.980095,24.813981
A2,香山區,120.907603,24.748472
A2,北區,120.957806,24.804065
A2,東區,120.99466,24.783804
A2,東區,120.99585,24.797636
A2,香山區,120.933366,24.792687
A2,北區,120.968133,24.805244
A2,東區,121.009644,24.787568
A2,東區,121.015883,24.785013
A2,東區,121.024689,24.775773
A2,東區,120.988315,24.805695
A2,東區,120.996553,24.803355
A2,北區,120.963122,24.823656
A2,東區,121.016608,24.784124
A2,東區,120.975553,24.80122
A2,東區,120.981398,24.81504
A2,北區,120.968038,24.805285
A2,北區,120.955538,24.811787
A2,香山區,120.94179,24.796573
A2,東區,120.990006,24.799892
A2,香山區,120.94298,24.776409
A2,東區,121.002106,24.795685
A2,東區,120.971727,24.795457
A2,東區,120.970045,24.804181
A2,東區,120.992971,24.804446
A2,東區,120.97445,24.808828
A2,香山區,120.906025,24.742241
A2,東區,120.963829,24.798735
A2,東區,121.007149,24.794245
A2,東區,120.985309,24.787468
A2,東區,121.006565,24.780633
A2,北區,120.971189,24.805761
A2,東區,120.999219,24.795075
A2,東區,120.999172,24.800618
A2,東區,121.013252,24.775432
A2,香山區,120.952548,24.796462
A2,北區,120.954695,24.808955
A2,東區,120.992507,24.79939
A2,香山區,120.978907,24.767615
A2,東區,120.990425,24.813464
A2,北區,120.964456,24.811959
A2,東區,120.990622,24.784843
A2,香山區,120.921497,24.783122
A2,東區,120.991443,24.798823
A2,北區,120.970889,24.811515
A2,東區,120.975839,24.814291
A2,東區,120.97827,24.810455
A2,香山區,120.939857,24.792371
A2,香山區,120.958536,24.759741
A2,香山區,120.952985,24.77845
A2,東區,121.008314,24.791672
A2,北區,120.975674,24.819259
A2,香山區,120.947749,24.777004
A2,東區,120.992461,24.779526
A2,東區,120.983156,24.802216
A2,東區,120.963279,24.804763
A2,東區,120.991986,24.814594
A2,北區,120.956563,24.803867
A2,東區,121.006768,24.780796
A2,東區,120.97073,24.801631
A2,東區,121.004094,24.787467
A2,東區,120.99719,24.780994
A2,東區,120.966692,24.800568
A2,東區,120.986602,24.805487
A2,北區,120.957107,24.815987
A2,北區,120.962402,24.806073
A2,東區,120.970043,24.798665
A2,香山區,120.928673,24.788269
A2,北區,120.952418,24.832415
A2,北區,120.975815,24.791638
A2,東區,120.976952,24.81452
A2,北區,120.961588,24.815098
A2,香山區,120.927637,24.787775
A2,北區,120.962702,24.800974
A2,東區,120.978967,24.808862
A2,東區,120.982872,24.801791
A2,香山區,120.916602,24.719955
A2,東區,120.981,24.808314
A2,東區,120.970176,24.801897
A2,北區,120.933944,24.839161
A2,香山區,120.9211,24.780856
A2,東區,120.985255,24.801712
A2,東區,121.006809,24.796247
A2,北區,120.962592,24.8141
A2,香山區,120.951183,24.800158
A2,東區,121.011012,24.789065
A2,香山區,120.943296,24.799004
A2,東區,120.975349,24.800534
A2,東區,121.01525,24.781672
A2,東區,120.966697,24.800567
A2,北區,120.956789,24.801
A2,北區,120.966412,24.812432
A2,東區,121.024343,24.788809
A2,香山區,120.936696,24.80611
A2,香山區,120.938583,24.778335
A2,東區,121.001258,24.80186
A2,東區,120.970968,24.804259
A2,東區,120.968739,24.803199
A2,香山區,120.929558,24.783529
A2,東區,120.967401,24.801013
A2,東區,120.969253,24.805268
A2,香山區,120.949303,24.798414
A2,香山區,120.951031,24.799971
A2,東區,121.001309,24.793353
A2,香山區,120.918744,24.780178
A2,東區,120.967642,24.785339
A2,東區,120.994438,24.817726
A2,東區,120.975239,24.814448
A2,東區,121.005201,24.790519
A2,香山區,120.90568,24.743843
A2,北區,120.962807,24.805607
A2,北區,120.966784,24.808972
A2,香山區,120.955212,24.796616
A2,東區,120.974503,24.80413
A2,北區,120.973751,24.820377
A2,北區,120.959946,24.80196
A2,北區,120.963206,24.805073
A2,東區,120.997067,24.796628
A2,東區,120.989957,24.800754
A2,東區,120.972818,24.799507
A2,北區,120.92936,24.830609
A2,香山區,120.917862,24.774764
A2,東區,120.972508,24.794782
A2,香山區,120.971499,24.795672
A2,東區,120.972632,24.794544
A2,東區,120.977879,24.768314
A2,北區,120.977722,24.822827
